step,n_features_raw,folds,acc_mean,acc_std,f1_macro_mean,f1_macro_std,rows_used,skipped_folds,note
Add_demographics,4,5,0.6,0.1378404875209022,0.4311904761904762,0.1582364544288202,22,0.0,
Add_career_choice,8,5,0.6900000000000001,0.17435595774162696,0.5023809523809524,0.25063977095541023,22,0.0,
Add_preparation,13,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Add_employment_problems,16,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Add_ethics,19,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Only_demographics,4,5,0.6,0.1378404875209022,0.4311904761904762,0.1582364544288202,22,0.0,
Only_career_choice,4,5,0.5900000000000001,0.0916515138991168,0.369047619047619,0.03511400286607768,22,0.0,
Only_preparation,5,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Only_employment_problems,3,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Only_ethics,3,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
