step,n_features_raw,folds,acc_mean,acc_std,f1_macro_mean,f1_macro_std,rows_used,skipped_folds,note
Add_demographics,4,5,0.55,0.1183215956619923,0.3845238095238095,0.07449756117696198,22,0.0,
Add_career_choice,8,5,0.6900000000000001,0.07348469228349536,0.40714285714285714,0.026244532958391183,22,0.0,
Add_preparation,13,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Add_employment_problems,16,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Add_ethics,19,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Only_demographics,4,5,0.55,0.1183215956619923,0.3845238095238095,0.07449756117696198,22,0.0,
Only_career_choice,4,5,0.64,0.09695359714832659,0.3880952380952381,0.036382635214133624,22,0.0,
Only_preparation,5,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Only_employment_problems,3,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
Only_ethics,3,5,,,,,22,,CV produced 0 valid folds (skipped=5). Dataset too small / imbalance.
