step,n_features_raw,folds,acc_mean,acc_std,f1_macro_mean,f1_macro_std,rows_used,skipped_folds,note
Add_demographics,4,3,0.2738095238095238,0.016835875742536838,0.23111111111111113,0.034995590551163594,22,0.0,
Add_career_choice,8,3,0.1369047619047619,0.008417937871268419,0.06349206349206349,0.004489566864676493,22,0.0,
Add_preparation,13,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Add_employment_problems,16,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Add_ethics,19,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Only_demographics,4,3,0.2738095238095238,0.016835875742536838,0.23111111111111113,0.034995590551163594,22,0.0,
Only_career_choice,4,3,0.0,0.0,0.0,0.0,22,0.0,
Only_preparation,5,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Only_employment_problems,3,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Only_ethics,3,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
