step,n_features_raw,folds,acc_mean,acc_std,f1_macro_mean,f1_macro_std,rows_used,skipped_folds,note
Add_demographics,4,3,0.32142857142857145,0.07715167498104594,0.25595238095238093,0.08175951499220839,22,0.0,
Add_career_choice,8,3,0.27976190476190477,0.12400396819047416,0.20158730158730157,0.09303672771251013,22,0.0,
Add_preparation,13,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Add_employment_problems,15,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Add_ethics,18,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Only_demographics,4,3,0.32142857142857145,0.07715167498104594,0.25595238095238093,0.08175951499220839,22,0.0,
Only_career_choice,4,3,0.18452380952380953,0.07192289269996768,0.12103174603174603,0.03898191012775496,22,0.0,
Only_preparation,5,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
Only_employment_problems,2,3,0.3630952380952381,0.05892556509887896,0.3064814814814815,0.09964787110990006,22,0.0,
Only_ethics,3,3,,,,,22,,CV produced 0 valid folds (skipped=3). Dataset too small / imbalance.
